inst,state,city
the college of idaho,ID,Caldwell
lewis-clark state college,ID,Lewiston
aveda institute-twin falls,ID,Twin Falls
north idaho college,ID,Coeur d'Alene
northwest nazarene university,ID,Nampa
nathan layne institute of cosmetology,ID,Chubbuck
brigham young university-idaho,ID,Rexburg
college of southern idaho,ID,Twin Falls
adler university,IL,Chicago
american academy of art college,IL,Chicago
american islamic college,IL,Chicago
school of the art institute of chicago,IL,Chicago
augustana college,IL,Rock Island
aurora university,IL,Aurora
southwestern illinois college,IL,Belleville
bethany theological seminary,IN,Richmond
black hawk college,IL,Moline
blackburn college,IL,Carlinville
blessing rieman college of nursing and health sciences,IL,Quincy
bradley university,IL,Peoria
paul mitchell the school tinley park,IL,Tinley Park
cameo beauty academy,IL,Oak Lawn
cannella school of hair design-villa park,IL,Villa Park
cannella school of hair design-chicago,IL,Chicago
capri beauty college,IL,Oak Forest
carl sandburg college,IL,Galesburg
catholic theological union at chicago,IL,Chicago
midwestern university-downers grove,IL,Downers Grove
the chicago school of professional psychology at chicago,IL,Chicago
chicago state university,IL,Chicago
chicago theological seminary,IL,Chicago
university of chicago,IL,Chicago
city colleges of chicago-kennedy-king college,IL,Chicago
city colleges of chicago-malcolm x college,IL,Chicago
city colleges of chicago-olive-harvey college,IL,Chicago
city colleges of chicago-harry s truman college,IL,Chicago
city colleges of chicago-richard j daley college,IL,Chicago
city colleges of chicago-harold washington college,IL,Chicago
city colleges of chicago-wilbur wright college,IL,Chicago
columbia college chicago,IL,Chicago
concordia university-chicago,IL,River Forest
danville area community college,IL,Danville
tricoci university of beauty culture,IL,Urbana
depaul university,IL,Chicago
cosmetology & spa academy,IL,Crystal Lake
college of dupage,IL,Glen Ellyn
east-west university,IL,Chicago
eastern illinois university,IL,Charleston
elgin community college,IL,Elgin
elmhurst university,IL,Elmhurst
eureka college,IL,Eureka
first institute of travel inc.,IL,Crystal Lake
fox college,IL,Tinley Park
garrett-evangelical theological seminary,IL,Evanston
gem city college,IL,Quincy
governors state university,IL,University Park
graham hospital school of nursing,IL,Canton
greenville university,IL,Greenville
g skin & beauty institute,IL,Schaumburg
hair professionals career college,IL,Sycamore
hair professionals school of cosmetology,IL,Oswego
hebrew theological college,IL,Skokie
highland community college,IL,Freeport
rosalind franklin university of medicine and science,IL,North Chicago
university of illinois chicago,IL,Chicago
benedictine university,IL,Lisle
illinois college of optometry,IL,Chicago
university of illinois urbana-champaign,IL,Champaign
illinois wesleyan university,IL,Bloomington
illinois central college,IL,East Peoria
illinois college,IL,Jacksonville
olney central college,IL,Olney
illinois institute of technology,IL,Chicago
illinois state university,IL,Normal
illinois valley community college,IL,Oglesby
institute for clinical social work,IL,Chicago
john a logan college,IL,Carterville
john wood community college,IL,Quincy
joliet junior college,IL,Joliet
judson university,IL,Elgin
kankakee community college,IL,Kankakee
kaskaskia college,IL,Centralia
kishwaukee college,IL,Malta
knox college,IL,Galesburg
educators of beauty college of cosmetology-peru,IL,PERU
college of lake county,IL,Grayslake
lake forest college,IL,Lake Forest
lake forest graduate school of management,IL,Lake Forest
lake land college,IL,Mattoon
lakeview college of nursing,IL,Danville
lewis and clark community college,IL,Godfrey
lewis university,IL,Romeoville
lincoln christian university,IL,Lincoln
lincoln land community college,IL,Springfield
lincoln college of technology-melrose park,IL,Melrose Park
loyola university chicago,IL,Chicago
lutheran school of theology at chicago,IL,Chicago
trinity college of nursing & health sciences,IL,Rock Island
steven papageorge hair academy,IL,Chicago
generations college,IL,Chicago
mccormick theological seminary,IL,Chicago
mchenry county college,IL,Crystal Lake
mckendree university,IL,Lebanon
meadville theological school of lombard college,IL,Chicago
methodist college,IL,Peoria
millikin university,IL,Decatur
monmouth college,IL,Monmouth
moody bible institute,IL,Chicago
moraine valley community college,IL,Palos Hills
morrison institute of technology,IL,Morrison
morton college,IL,Cicero
national louis university,IL,Chicago
national university of health sciences,IL,Lombard
cosmetology concepts niles,IL,Niles
north central college,IL,Naperville
north park university,IL,Chicago
northern baptist theological seminary,IL,Lisle
northern illinois university,IL,Dekalb
northwestern university,IL,Evanston
northeastern illinois university,IL,Chicago
oakton community college,IL,Des Plaines
oehrlein school of cosmetology,IL,East Peoria
olivet nazarene university,IL,Bourbonnais
parkland college,IL,Champaign
prairie state college,IL,Chicago Heights
principia college,IL,Elsah
professional's choice hair design academy,IL,Joliet
quincy university,IL,Quincy
rend lake college,IL,Ina
richland community college,IL,Decatur
rock valley college,IL,Rockford
rockford university,IL,Rockford
roosevelt university,IL,Chicago
dominican university,IL,River Forest
rush university,IL,Chicago
saint francis medical center college of nursing,IL,Peoria
university of st francis,IL,Joliet
st. john's college-department of nursing,IL,Springfield
saint xavier university,IL,Chicago
university of illinois springfield,IL,Springfield
sauk valley community college,IL,Dixon
shawnee community college,IL,Ullin
st. augustine college,IL,Chicago
university of saint mary of the lake,IL,Mundelein
southeastern illinois college,IL,Harrisburg
national latino education institute,IL,Chicago
spertus college,IL,Chicago
spoon river college,IL,Canton
saint anthony college of nursing,IL,Rockford
educators of beauty college of cosmetology-sterling,IL,Sterling
southern illinois university-carbondale,IL,Carbondale
southern illinois university-edwardsville,IL,Edwardsville
taylor business institute,IL,Chicago
telshe yeshiva-chicago,IL,Chicago
south suburban college,IL,South Holland
trinity christian college,IL,Palos Heights
trinity international university-illinois,IL,Deerfield
triton college,IL,River Grove
university of spa & cosmetology arts,IL,Springfield
vandercook college of music,IL,Chicago
waubonsee community college,IL,Sugar Grove
oak point university,IL,Oak Brook
western illinois university,IL,Macomb
wheaton college,IL,Wheaton
william rainey harper college,IL,Palatine
anderson university,IN,Anderson
ball state university,IN,Muncie
bethel university,IN,Mishawaka
butler university,IN,Indianapolis
calumet college of saint joseph,IN,Whiting
christian theological seminary,IN,Indianapolis
college of court reporting inc,IN,Valparaiso
concordia theological seminary,IN,Fort Wayne
tricoci university of beauty culture-highland,IN,Highland
depauw university,IN,Greencastle
don roberts school of hair design,IN,Schererville
earlham college,IN,Richmond
university of evansville,IN,Evansville
franklin college,IN,Franklin
goshen college,IN,Goshen
grace college and theological seminary,IN,Winona Lake
hanover college,IN,Hanover
j michael harrold beauty academy,IN,Terre Haute
holy cross college,IN,Notre Dame
pj's college of cosmetology-clarksville,IN,Clarksville
huntington university,IN,Huntington
ivy tech community college,IN,Indianapolis
purdue university fort wayne,IN,Fort Wayne
indiana university-purdue university-indianapolis,IN,Indianapolis
university of indianapolis,IN,Indianapolis
indiana institute of technology,IN,Fort Wayne
university of southern indiana,IN,Evansville
indiana state university,IN,Terre Haute
indiana university-kokomo,IN,Kokomo
indiana university-south bend,IN,South Bend
indiana university-bloomington,IN,Bloomington
indiana university-northwest,IN,Gary
indiana university-southeast,IN,New Albany
indiana university-east,IN,Richmond
international business college-indianapolis,IN,Indianapolis
taylor institute of cosmetology ii,IN,Knox
tricoci university of beauty culture-lafayette,IN,Lafayette
lincoln college of technology-indianapolis,IN,Indianapolis
manchester university,IN,North Manchester
marian university,IN,Indianapolis
indiana wesleyan university-marion,IN,Marion
martin university,IN,Indianapolis
anabaptist mennonite biblical seminary,IN,Elkhart
mid-america college of funeral service,IN,Jeffersonville
west michigan college of barbering and beauty,MI,Kalamazoo
university of notre dame,IN,Notre Dame
oakland city university,IN,Oakland City
pj's college of cosmetology-richmond,IN,Richmond
ravenscroft beauty college,IN,Fort Wayne
rogers academy of hair design,IN,Evansville
rose-hulman institute of technology,IN,Terre Haute
university of saint francis-fort wayne,IN,Fort Wayne
saint mary-of-the-woods college,IN,Saint Mary of the Woods
saint mary's college,IN,Notre Dame
saint meinrad school of theology,IN,St. Meinrad
saint elizabeth school of nursing,IN,Lafayette
taylor university,IN,Upland
trine university,IN,Angola
valparaiso university,IN,Valparaiso
vincennes beauty college,IN,Vincennes
vincennes university,IN,Vincennes
wabash college,IN,Crawfordsville
allen college,IA,Waterloo
briar cliff university,IA,Sioux City
buena vista university,IA,Storm Lake
capri college-dubuque,IA,Dubuque
capri college-cedar rapids,IA,Cedar Rapids
central college,IA,Pella
clarke university,IA,Dubuque
coe college,IA,Cedar Rapids
cornell college,IA,Mount Vernon
des moines area community college,IA,Ankeny
divine word college,IA,Epworth
dordt university,IA,Sioux Center
drake university,IA,Des Moines
university of dubuque,IA,Dubuque
ellsworth community college,IA,Iowa Falls
emmaus bible college,IA,Dubuque
eastern iowa community college district,IA,Davenport
faith baptist bible college and theological seminary,IA,Ankeny
graceland university-lamoni,IA,Lamoni
grand view university,IA,Des Moines
grinnell college,IA,Grinnell
orion technical college,IA,Davenport
hawkeye community college,IA,Waterloo
american hair academy,IA,Mt. Pleasant
indian hills community college,IA,Ottumwa
iowa central community college,IA,Fort Dodge
iowa lakes community college,IA,Estherville
unitypoint health-des moines school of radiologic technology,IA,Des Moines
iowa school of beauty-des moines,IA,Des Moines
iowa state university,IA,Ames
iowa wesleyan university,IA,Mount Pleasant
iowa western community college,IA,Council Bluffs
university of iowa,IA,Iowa City
kirkwood community college,IA,Cedar Rapids
la james international college-cedar falls,IA,Cedar Falls
la james international college-johnston,IA,Johnston
la james college of hairstyling and cosmetology,IA,Mason City
la james international college-ft dodge,IA,Fort Dodge
loras college,IA,Dubuque
luther college,IA,Decorah
maharishi international university,IA,Fairfield
marshalltown community college,IA,Marshalltown
mercy college of health sciences,IA,Des Moines
